alpha,success_probability,number_modes,time_in_seconds,distance_to_helstrom_probability,bit_error_rate,squeezing,number_ancillas,helstrom_probability,homodyne_probability,best_success_probability,best_helstrom_probability,best_homodyne_probability,best_codebook,best_measurements
1.15625,0.9963874816894531,3,108.72425675392151,-0.00034014866405995825,0.0012041727701822917,True,0,0.9967276303535131,0.9717368179257798,0.9996117949485779,0.9964305289122857,0.9691965916288584,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
1.15625,0.9935189783573151,4,456.90928053855896,-0.0018729342298751117,0.0016202554106712341,False,0,0.9953919125871902,0.9603980422030284,0.9994996786117554,0.9952435388264623,0.9591411065707668,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]"
1.15625,0.994497761130333,4,526.6307239532471,-0.0008941514568572284,0.0013755597174167633,True,0,0.9953919125871902,0.9603980422030284,0.9990166425704956,0.9952435388264623,0.9591411065707668,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]"
0.5874999999999999,0.9518739879131317,2,27.606879472732544,0.05069946420876248,0.024063006043434143,False,0,0.9011745237043692,0.827203646102853,0.9990228414535522,0.8697468530055823,0.7744046501047186,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]"
0.5874999999999999,0.9566694796085358,2,34.088316917419434,0.05549495590416653,0.021665260195732117,True,0,0.9011745237043692,0.827203646102853,0.9986833333969116,0.8697468530055823,0.7744046501047186,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]"
0.5874999999999999,0.9028892815113068,3,120.91457462310791,0.07710670049372714,0.03237023949623108,False,0,0.8257825810175796,0.704709766136762,0.9663023948669434,0.8111278236882453,0.6814781381474431,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
0.5874999999999999,0.908947542309761,3,145.81457805633545,0.08316496129218143,0.03035081923007965,True,0,0.8257825810175796,0.704709766136762,0.9737352132797241,0.8111278236882453,0.6814781381474431,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
0.5874999999999999,0.8439892753958702,4,605.661031961441,0.08069615766086469,0.03900268115103245,False,0,0.7632931177350055,0.6099245091092655,0.9352590441703796,0.756459588313114,0.5997025621038117,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]"
0.5874999999999999,0.860452875494957,4,687.9803900718689,0.09715975775995145,0.03488678112626076,True,0,0.7632931177350055,0.6099245091092655,0.9490207433700562,0.756459588313114,0.5997025621038117,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]"
1.3187499999999999,0.9994751214981079,2,22.950584173202515,-0.00016762919730095582,0.0002624392509460449,False,0,0.9996427506954089,0.9937447474937675,0.999977707862854,0.9995236865045946,0.9916654762648996,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]"
1.3187499999999999,0.9994661808013916,2,28.03569459915161,-0.00017656989401726442,0.0002669095993041992,True,0,0.9996427506954089,0.9937447474937675,0.9999854564666748,0.9995236865045946,0.9916654762648996,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]"
1.3187499999999999,0.9990484863519669,3,124.17887663841248,-0.00029664640538307196,0.00031717121601104736,False,0,0.9993451327573499,0.9885595939181814,0.9999638199806213,0.9992856148416017,0.9875242998026086,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
1.3187499999999999,0.9993623048067093,3,147.48752808570862,1.7172049359359676e-05,0.00021256506443023682,True,0,0.9993451327573499,0.9885595939181814,0.9999314546585083,0.9992856148416017,0.9875242998026086,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]"
1.3187499999999999,0.9424263164401054,4,606.823757648468,-0.056651035313362796,0.01439342088997364,False,0,0.9990773517534682,0.9839159021890549,0.9999433755874634,0.999047599883735,0.9834004168156902,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]"
