alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate
0.3,0.7577197551727295,1,7.967346906661987,0.03197287292280304,0.2422802448272705
0.3,0.4376077651977539,3,12806.76493024826,0.055350686546283334,0.18746407826741537
