alpha,success_probability,number_modes,time_in_seconds,distance_to_helstrom_probability,bit_error_rate,squeezing,number_ancillas,helstrom_probability,homodyne_probability,best_success_probability,best_helstrom_probability,best_homodyne_probability,best_codebook,best_measurements,best_optimized_parameters
1.075,0.9968955516815186,2,16.03837561607361,0.0005871916834792046,0.0015522241592407227,False,0,0.9963083599980394,0.976458055360858,0.9999371767044067,0.9950798356436169,0.9686937181128065,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]","[-0.13579681515693665, 0.9987471699714661, 0.39707234501838684, -0.11347285658121109, -0.04535869136452675, 0.8667881488800049, -0.22274841368198395, 0.3015061914920807, -1.2699018716812134, -1.0196441411972046]"
1.075,0.9969861209392548,2,20.306873083114624,0.0006777609412154106,0.0015069395303726196,True,0,0.9963083599980394,0.976458055360858,0.9999221563339233,0.9950798356436169,0.9686937181128065,"[[0, 0], [1, 1]]","[[0, 0], [1, 1]]","[-0.08340015262365341, 0.6778668165206909, 0.34823042154312134, 0.1831621527671814, 0.4198444187641144, 0.0027522293385118246, -0.9118086695671082, -1.5765982866287231, 0.0005943145370110869, 0.6771401762962341, -0.5631011128425598, -0.12676046788692474, -1.491624355316162, -1.0081865787506104]"
1.075,0.994016483426094,3,104.05951929092407,0.0007748953177697526,0.001994505524635315,False,0,0.9932415881083243,0.9572309662378569,0.9998776316642761,0.9926288389298935,0.953410048946207,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[-0.023915862664580345, 0.05982620269060135, 0.013946451246738434, 2.5323541164398193, 1.2292975187301636, 2.2221996784210205, 0.08409596234560013, -0.5777410864830017, 0.1406080275774002, 0.006346423178911209, 0.06679406762123108, -0.0007642586133442819, 0.6501604318618774, -1.1285520792007446, 0.409000426530838, -0.0814293920993805, 0.5766423940658569, -0.14560429751873016, -1.1221498250961304, -1.105974793434143, -1.0579054355621338]"
1.075,0.9940037429332733,3,125.30915904045105,0.0007621548249490129,0.0019987523555755615,True,0,0.9932415881083243,0.9572309662378569,0.9993991851806641,0.9926288389298935,0.953410048946207,"[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[[0, 0, 0], [0, 1, 1], [1, 0, 1], [1, 1, 0]]","[0.0300837941467762, 0.009180881083011627, -0.026309480890631676, 0.7788380980491638, -1.383910894393921, 1.013443946838379, 0.3003290593624115, -0.23572169244289398, 0.3549105226993561, 0.23573735356330872, -0.20200231671333313, -0.21723031997680664, -2.5603835582733154, -0.37989580631256104, 0.6793453097343445, 0.020632930099964142, -0.005349714774638414, -0.014937128871679306, 1.1148271560668945, -1.1938190460205078, 1.1125317811965942, -0.2987724542617798, 0.22172340750694275, -0.3494163155555725, -1.3813300132751465, -1.3549705743789673, -1.3761214017868042]"
1.075,0.9906971007585526,4,452.77658677101135,0.0002076015008539711,0.002325724810361862,False,0,0.9904894992576986,0.9402478356905875,0.9991957545280457,0.9901838793045278,0.9383675195112133,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[0.11732964962720871, 0.03731939196586609, 0.46009352803230286, -0.16551834344863892, 0.027938051149249077, 0.03843267634510994, 0.1441221833229065, 0.3146854639053345, -0.23776593804359436, -0.029052674770355225, 1.0949413776397705, 0.3322129249572754, 0.6525299549102783, 1.7602347135543823, -0.4971863627433777, -0.43341073393821716, 0.11606601625680923, -0.007689184509217739, 0.5704078674316406, -0.04947364330291748, -0.058361586183309555, -0.08012130111455917, 1.0324270725250244, 1.6708829402923584, 0.706260621547699, 1.3742724657058716, 0.9550641179084778, 0.7999425530433655, -0.660204291343689, 1.3795961141586304, 0.48283395171165466, 0.41983914375305176, -1.0963306427001953, 1.1218719482421875, -1.0946296453475952, -1.072271704673767]"
1.075,0.9909873753786087,4,532.1565821170807,0.0004978761209101235,0.002253156155347824,True,0,0.9904894992576986,0.9402478356905875,0.9991999268531799,0.9901838793045278,0.9383675195112133,"[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[[0, 0, 0, 0], [0, 0, 1, 1], [0, 1, 0, 1], [0, 1, 1, 0], [1, 0, 0, 1], [1, 0, 1, 0], [1, 1, 0, 0], [1, 1, 1, 1]]","[0.1473984718322754, -0.10287866741418839, 0.4816020727157593, -0.0901876837015152, 0.160355344414711, 0.7112376093864441, 0.32675790786743164, -1.593364953994751, 0.6543126702308655, 0.570966899394989, -0.7795537114143372, -0.041209496557712555, 0.19596709311008453, -0.7380746603012085, 1.577643871307373, -0.4542349576950073, 6.765988655388355e-05, -0.07235440611839294, -0.07837396115064621, 0.04591858386993408, -0.28501689434051514, 0.07189356535673141, -0.5563014149665833, 2.0657122135162354, 0.06638815999031067, 0.05076123774051666, 0.8042737245559692, -0.09062472730875015, 0.06693167239427567, 0.2971801161766052, -0.2713158428668976, 0.8196529746055603, -0.4671139419078827, -0.7075082659721375, 0.8137266039848328, -0.02289694733917713, -0.18630501627922058, 0.8833699226379395, 1.2708591222763062, 0.441384881734848, -1.1027541160583496, -1.0998146533966064, 1.0995879173278809, -1.1499096155166626]"
1.075,0.9780023768544197,5,2793.256446838379,-0.00989499863099419,0.004399524629116058,False,0,0.9878973754854139,0.9244876498442766,0.9977605938911438,0.9877449418974728,0.923562325199814,"[[0, 0, 0, 0, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 0, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]","[[0, 0, 0, 0, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 0, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]","[-1.0669500827789307, -0.77468341588974, 0.05582808703184128, -0.0010519282659515738, -0.1608111560344696, -0.5170161128044128, -0.11477656662464142, -0.010707116685807705, -0.08623755723237991, -0.3567618429660797, -1.016907811164856, -0.02715318463742733, -0.011928812600672245, 1.2454320192337036, -0.00598480086773634, 0.5652681589126587, 0.2512422502040863, 0.1399349868297577, 0.3075345754623413, 0.13673995435237885, 1.2601701021194458, -1.447206735610962, 0.3868858516216278, -0.1427607387304306, -0.6359339356422424, -0.24474816024303436, -0.23017415404319763, -0.07717882841825485, 0.042281344532966614, -0.4711308777332306, -0.4722314178943634, 0.017048638314008713, -0.04258590191602707, -0.7946731448173523, -0.8210799694061279, 0.963011622428894, -0.0630468800663948, -1.0785622596740723, 0.12280294299125671, 0.3216133713722229, -0.1499842405319214, -0.4264424741268158, 0.2865321636199951, -0.2503300607204437, 0.20937798917293549, 2.4293110370635986, -2.227757453918457, -0.08341673016548157, -0.15497326850891113, -2.5197794437408447, 1.1396236419677734, 1.077526330947876, 1.0986453294754028, 1.0625311136245728, 1.0907785892486572]"
1.075,0.9770713821053505,5,4755.532377958298,-0.010825993380063403,0.004585723578929901,True,0,0.9878973754854139,0.9244876498442766,0.9987432360649109,0.9877449418974728,0.923562325199814,"[[0, 0, 0, 0, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 0, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]","[[0, 0, 0, 0, 0], [0, 0, 0, 1, 1], [0, 0, 1, 0, 1], [0, 0, 1, 1, 0], [0, 1, 0, 0, 1], [0, 1, 0, 1, 0], [0, 1, 1, 0, 0], [0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0], [1, 0, 1, 0, 0], [1, 0, 1, 1, 1], [1, 1, 0, 0, 0], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]]","[0.017094343900680542, -0.0017279936000704765, 0.6115744709968567, 0.373941034078598, -0.01053016446530819, 0.023926228284835815, 0.8670302629470825, -0.01969374716281891, 0.0035712318494915962, -0.09928812831640244, 0.6879405975341797, 0.6714158058166504, 0.012918985448777676, 1.476301908493042, -0.2559581696987152, 0.5140214562416077, 0.43047574162483215, 2.0889339447021484, 0.05270768329501152, 0.11585994809865952, -0.0023647849448025227, -0.9257082939147949, 1.505532145500183, -0.562072217464447, 0.23296943306922913, -0.14251011610031128, -0.09687939286231995, 0.03924103453755379, 0.006919407285749912, -0.01082800142467022, 0.5618266463279724, -0.44858407974243164, -1.396432638168335, -0.8007026314735413, 0.4189325273036957, -0.0017883237451314926, -0.08408448100090027, 0.9607061147689819, -0.024012265726923943, -0.0038830202538520098, 0.008561692200601101, 0.6031202077865601, 0.38490939140319824, -0.014328633435070515, -0.004346094094216824, 1.7063924074172974, 1.0051348209381104, 0.08143073320388794, -0.19774633646011353, 0.9878469705581665, 0.8960884809494019, -0.3874515891075134, -0.8431155681610107, 0.2233213186264038, 1.0375524759292603, -0.05702061206102371, -1.8356646299362183, 1.191493272781372, 0.5829192996025085, -0.24156130850315094, -1.2459989786148071, 1.1259592771530151, 1.0943413972854614, -1.0899536609649658, -1.125372290611267]"
