alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate,squeezing,number_ancillas
1.075,0.9898567795753479,2,1116.473984003067,0.021163061462541433,0.00507161021232605,False,1
1.075,0.9903972148895264,2,1545.768316268921,0.0217034967767199,0.004801392555236816,True,1
1.075,0.9952926635742188,1,30.7870352268219,0.011070270965309215,0.00470733642578125,False,0
1.075,0.9956722259521484,1,35.912452936172485,0.011449833343238902,0.0043277740478515625,True,0
1.075,0.9906070828437805,2,686.3286504745483,0.02191336473097405,0.004696458578109741,False,0
1.075,0.990607500076294,2,489.3215334415436,0.021913781963487478,0.004696249961853027,False,0
1.075,0.991337776184082,2,1027.0374164581299,0.022644058071275563,0.004331111907958984,True,0
1.075,0.9859440922737122,3,18501.273001909256,0.0325340433275052,0.00468530257542928,False,0
1.075,0.9870702624320984,3,20247.592658281326,0.03366021348589143,0.00430991252263387,True,0
