alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate,squeezing,number_ancillas
0.34375,0.5967095494270325,2,142.5969123840332,0.028018382309732526,0.20164522528648376,False,1
0.34375,0.6141098737716675,2,160.08290219306946,0.045418706654367536,0.19294506311416626,True,1
0.34375,0.45983654260635376,3,700.2391090393066,0.03097734933710017,0.18005448579788208,False,1
0.34375,0.6141098737716675,2,181.89404726028442,0.045418706654367536,0.19294506311416626,True,1
0.34375,0.7727635502815247,1,19.960847854614258,0.01864740066178605,0.22723644971847534,False,0
0.34375,0.7845057249069214,1,25.679362297058105,0.03038957528718278,0.2154942750930786,True,0
0.34375,0.5971634387969971,2,130.03873991966248,0.028472271679697125,0.20141828060150146,False,0
0.34375,0.5971634387969971,2,85.60309672355652,0.028472271679697125,0.20141828060150146,False,0
0.34375,0.6145309209823608,2,157.3178153038025,0.045839753865060895,0.19273453950881958,True,0
0.34375,0.4616546630859375,3,14527.55555677414,0.03279546981668391,0.17944844563802084,False,0
0.34375,0.6587287783622742,3,1014.6328282356262,0.22986958509302058,0.11375707387924194,True,0
0.34375,0.922831118106842,4,5957.463472366333,0.5994214745496051,0.01929222047328949,True,0
