alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate,squeezing,number_ancillas
0.7,0.0,1,6.441366672515869,-0.919243340766229,1.0,False,0
0.7,1.0,1,2.2551395893096924,0.08075665923377096,0.0,False,0
0.7,1.0,1,2.3375306129455566,0.08075665923377096,0.0,False,0
0.7,1.0,1,2.3022656440734863,0.08075665923377096,0.0,False,0
0.7,1.0,1,2.0818302631378174,0.08075665923377096,0.0,False,0
0.7,1.0,1,2.013306140899658,0.08075665923377096,0.0,False,0
0.7,[0.9397144],1,1.9154329299926758,[0.02047104],[0.06028563],False,0
0.7,0.44999998807907104,1,2.070701837539673,-0.469243352687158,0.550000011920929,False,0
0.7,0.5499999523162842,1,2.049271583557129,-0.36924338844994486,0.4500000476837158,False,0
0.7,0.3500000238418579,1,2.1167080402374268,-0.5692433169243711,0.6499999761581421,False,0
0.7,[0.50000226],1,1.5664050579071045,[-0.41924107],[0.49999774],False,0
0.7,[0.6125869 0.6126657],1,1.582510232925415,[-0.30665642 -0.30657762],[0.38741308 0.3873343 ],False,0
0.7,[0.810004  0.2499978],1,1.5550293922424316,[-0.10923934 -0.66924554],[0.189996  0.7500022],False,0
0.7,0.5300005078315735,1,1.5286223888397217,-0.38924283293465556,0.4699994921684265,False,0
0.7,[0.810004  0.2499978],1,1.4852159023284912,[-0.10923934 -0.66924554],[0.189996  0.7500022],False,0
0.7,[1. 1.],1,1.4791953563690186,[0.08075666 0.08075666],[0. 0.],False,0
0.7,0.8100051879882812,1,1.7925679683685303,-0.1092381527779478,0.18999481201171875,False,0
0.7,0.5,1,1.7722876071929932,-0.41924334076622904,0.5,False,0
0.7,0.7800039052963257,1,1.811567783355713,-0.13923943546990336,0.21999609470367432,False,0
0.7,0.5000038146972656,1,1.7892882823944092,-0.4192395260689634,0.4999961853027344,False,0
0.7,0.999744713306427,1,2.7443435192108154,0.08050137254019796,0.00025528669357299805,False,0
0.7,0.4775,1,8.43549394607544,-0.44174334076622906,0.5225,False,0
0.7,0.482,1,13.801921606063843,-0.43724334076622906,0.518,False,0
0.7,0.46299999999999997,1,13.514851093292236,-0.4562433407662291,0.537,False,0
0.7,0.498,1,8.588428974151611,-0.42124334076622905,0.502,False,0
0.7,0.469,1,8.513295888900757,-0.45024334076622907,0.531,False,0
0.7,0.496,1,10.950294256210327,-0.42324334076622905,0.504,False,0
0.7,0.39999999999999997,1,4.7186713218688965,-0.5192433407662291,0.6000000000000001,False,0
0.7,0.95,1,2.8198728561401367,0.03075665923377091,0.050000000000000044,False,0
0.7,0.9345000000000001,1,8.720267534255981,0.015256659233771064,0.06549999999999989,False,0
0.7,0.41,1,3.4145123958587646,-0.5092433407662291,0.5900000000000001,False,0
0.7,0.95,1,4.583245515823364,0.03075665923377091,0.050000000000000044,False,0
0.7,0.94,1,4.684258937835693,0.020756659233770902,0.06000000000000005,False,0
0.7,0.445,1,3.3312268257141113,-0.47424334076622904,0.5549999999999999,False,0
0.7,0.455,1,1.9175152778625488,-0.46424334076622903,0.5449999999999999,False,0
0.7,0.4148080348968506,1,1.2997026443481445,-0.5044353058693785,0.5851919651031494,False,0
0.7,0.9435496880162497,1,0.9116168022155762,0.024306347250020677,0.05645031198375028,False,0
0.7,0.4148080348968506,1,1.2937579154968262,-0.5044353058693785,0.5851919651031494,False,0
