alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate,squeezing,number_ancillas
1.15625,0.9572908878326416,1,11.364869832992554,-0.03233403950930036,0.0427091121673584,False,1
1.15625,0.9971548318862915,1,36.95968556404114,0.007529904544349542,0.002845168113708496,True,1
1.15625,0.9973719120025635,1,35.546435594558716,0.007746984660621514,0.0026280879974365234,False,1
1.15625,0.9976778030395508,1,30.468332052230835,0.008052875697608819,0.0023221969604492188,False
1.15625,0.9978102445602417,1,36.010538816452026,0.008185317218299737,0.0021897554397583008,True
1.15625,0.9953609704971313,2,684.1959526538849,0.01600347368058741,0.002319514751434326,False
1.15625,0.9953598976135254,2,489.11392641067505,0.016002400796981453,0.0023200511932373047,False
1.15625,0.9956052303314209,2,1034.9710190296173,0.01624773351487696,0.0021973848342895508,True
1.15625,0.9930489659309387,3,21310.70330286026,0.023852374302080315,0.0023170113563537598,False
1.15625,0.993438720703125,3,16072.706307888031,0.024242129074266594,0.0021870930989583335,True
1.15625,0.9827004671096802,3,9260.597486495972,0.01350387548082177,0.005766510963439941,True,1
1.15625,0.9912535548210144,4,388889.2239239216,0.032112448250247616,0.002186611294746399,True,0
1.15625,0.7338030338287354,4,215001.04780745506,-0.22533807274203144,0.06654924154281616,False,0
1.15625,1.0,1,1.142134189605713,0.010375072658058038,0.0,False,0
1.15625,1.0,1,1.1472151279449463,0.010375072658058038,0.0,False,0
1.15625,0.5,1,1.3008790016174316,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.9323804378509521,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.999650239944458,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.9496471881866455,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,1.0080714225769043,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.9047563076019287,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.9377236366271973,-0.48962492734194196,0.5,False,0
1.15625,0.5,1,0.9221673011779785,-0.48962492734194196,0.5,False,0
