alpha,success_probability,number_modes,time_in_seconds,distance_to_homodyne_probability,bit_error_rate,squeezing,number_ancillas
1.2374999999999998,0.9987821578979492,1,108.06260633468628,0.005443966689931967,0.0012178421020507812,False,1
1.2374999999999998,0.9986531734466553,1,113.26168990135193,0.005314982238638022,0.0013468265533447266,True,1
1.2374999999999998,0.9987821578979492,1,112.47215342521667,0.005443966689931967,0.0012178421020507812,False,1
1.2374999999999998,0.9989176988601685,1,30.627246379852295,0.0055795076521512055,0.001082301139831543,False
1.2374999999999998,0.9989564418792725,1,26.449294090270996,0.005618250671255209,0.001043558120727539,True
1.2374999999999998,0.9978359937667847,2,627.7314007282257,0.011115231654369229,0.001082003116607666,False
1.2374999999999998,0.9978312849998474,2,460.270574092865,0.011110522887431973,0.001084357500076294,False
1.2374999999999998,0.9977998733520508,2,982.9897077083588,0.011079111239635342,0.0011000633239746094,True
1.2374999999999998,0.9967553615570068,3,21988.343645095825,0.016607944492863846,0.001081546147664388,False
1.2374999999999998,0.9968589544296265,3,14860.280413389206,0.016711537365483475,0.0010470151901245117,True
1.2374999999999998,1.0,1,10.59967303276062,0.0066618087919827484,0.0,False,0
1.2374999999999998,1.0,1,11.03870677947998,0.0066618087919827484,0.0,False,0
1.2374999999999998,0.5,1,1.6579368114471436,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5589661598205566,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.6172585487365723,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5809812545776367,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5718669891357422,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5783181190490723,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5999794006347656,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5616917610168457,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5925164222717285,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.554323434829712,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5211210250854492,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.5,1,1.5770998001098633,-0.49333819120801725,0.5,False,0
1.2374999999999998,0.9271059036254883,1,1.0327990055084229,-0.06623228758252897,0.07289409637451172,False,0
1.2374999999999998,0.35,1,1.1363365650177002,-0.6433381912080173,0.65,False,0
1.2374999999999998,0.5105,1,7.398591756820679,-0.4828381912080173,0.48950000000000005,False,0
1.2374999999999998,1.0,1,1.060180425643921,0.0066618087919827484,0.0,False,0
1.2374999999999998,0.999,1,7.356254816055298,0.0056618087919827476,0.0010000000000000009,False,0
1.2374999999999998,1.0,1,5.455436944961548,0.0066618087919827484,0.0,False,0
1.2374999999999998,0.9988222122192383,1,1.1645822525024414,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,0.9988222122192383,1,1.243208408355713,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,0.9988222122192383,1,1.1300263404846191,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,[0.99854255],1,6.204582214355469,[0.00520438],[0.00145745],True,0
1.2374999999999998,0.9988222122192383,1,1.169867992401123,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,0.4464726448059082,1,0.0358128547668457,-0.546865546402109,0.5535273551940918,False,0
1.2374999999999998,0.9988222122192383,1,1.1343510150909424,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,0.4464726448059082,1,0.037312984466552734,-0.546865546402109,0.5535273551940918,False,0
1.2374999999999998,0.9989213943481445,1,1.6520373821258545,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.9989213943481445,1,1.6105577945709229,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.9989213943481445,1,1.6932802200317383,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.9989213943481445,1,1.6510686874389648,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.9989213943481445,1,1.6086843013763428,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.9989213943481445,1,1.6245439052581787,0.00558320314012728,0.0010786056518554688,False,0
1.2374999999999998,0.4464726448059082,1,0.03418135643005371,-0.546865546402109,0.5535273551940918,False,0
1.2374999999999998,0.9988222122192383,1,1.1860618591308594,0.00548402101122103,0.0011777877807617188,False,0
1.2374999999999998,0.9989093542098999,1,2.3031694889068604,0.005571163001882651,0.0010906457901000977,False,0
1.2374999999999998,0.9989093542098999,1,0.30646491050720215,0.005571163001882651,0.0010906457901000977,False,0
1.2374999999999998,0.9989093542098999,1,0.3148469924926758,0.005571163001882651,0.0010906457901000977,False,0
1.2374999999999998,0.9989093542098999,1,0.31636500358581543,0.005571163001882651,0.0010906457901000977,False,0
1.2374999999999998,0.9989510774612427,1,3.2530767917633057,0.005612886253225424,0.0010489225387573242,True,0
1.2374999999999998,0.9450000000000001,1,2.485203981399536,-0.04833819120801719,0.05499999999999994,False,0
1.2374999999999998,0.46499999999999997,1,18.06022357940674,-0.5283381912080173,0.535,False,0
1.2374999999999998,0.965,1,5.051481246948242,-0.028338191208017283,0.03500000000000003,False,0
1.2374999999999998,0.9955,1,97.66317439079285,0.0021618087919828,0.0044999999999999485,False,0
1.2374999999999998,0.917,1,90.07587504386902,-0.07633819120801721,0.08299999999999996,False,0
1.2374999999999998,0.998,1,147.54854035377502,0.004661808791982747,0.0020000000000000018,False,0
